year,customer_id,gender,age,no_of_days_subscribed,multi_screen,mail_subscribed,weekly_mins_watched,minimum_daily_mins,maximum_daily_mins,weekly_max_night_mins,videos_watched,maximum_days,customer_support_calls,churn,multi_screen_score,email_marketing_score,subscription_tenure,engagement_score,consistency_score,night_owl_score,churn_risk_score
2020,120500,Male,36,51,yes,no,230.4,14.1,26.11,92,4,4,0,1,2,1,0.20987654320987653,0.43785632839224625,0.5400229797012639,0.3993055555555555,0.3837571354436949
2020,120696,Female,56,100,no,yes,265.65,7.4,30.11,72,2,2,0,0,1,2,0.411522633744856,0.5048460661345495,0.24576552640318827,0.2710333145115754,0.3380254281266218
2020,120828,Male,40,126,no,no,183.6,11.5,20.81,106,3,4,1,0,1,1,0.5185185185185185,0.34891676168757124,0.5526189332051898,0.5773420479302832,0.5203252032520326
2020,121366,Male,49,97,no,yes,181.65,8.3,20.59,100,5,3,3,0,1,2,0.3991769547325103,0.34521094640820976,0.40310830500242845,0.5505092210294522,0.6745588998443176
2020,121406,Female,36,55,no,yes,283.95,12.5,32.18,102,4,4,2,0,1,2,0.22633744855967078,0.5396237172177878,0.3884400248601616,0.3592181722134179,0.4659877183878223
2020,122388,Female,33,74,no,yes,290.55,14.6,32.93,92,3,4,2,0,1,2,0.3045267489711934,0.5521664766248574,0.44336471302763447,0.3166408535536052,0.4574251859539873
2020,122391,Female,47,86,no,yes,184.5,13.3,20.91,103,4,4,1,0,1,2,0.35390946502057613,0.35062713797035344,0.6360593017694883,0.5582655826558266,0.5191575851928734
2020,122530,Male,26,95,no,yes,61.35,11.9,6.95,91,7,4,0,0,1,2,0.39094650205761317,0.11659064994298746,1.7122302158273381,1.4832925835370823,0.6030747275557863
2020,122658,Female,43,75,yes,no,250.05,10.1,28.34,121,3,3,3,0,2,1,0.30864197530864196,0.4751995438996579,0.3563867325335215,0.48390321935612873,0.5858199273482096
2020,122904,Female,34,27,no,no,109.05,9.9,12.36,71,3,3,1,0,1,1,0.1111111111111111,0.20724059293044467,0.8009708737864079,0.651077487391105,0.617042899152396
2020,124497,Male,42,65,no,no,281.85,7.5,31.94,86,6,3,1,0,1,1,0.2674897119341564,0.5356328392246295,0.234815278647464,0.305126840518006,0.39286023179380736
2020,124837,Male,67,163,no,no,371.55,9.6,42.11,82,7,3,0,1,1,1,0.6707818930041153,0.7061003420752565,0.22797435288530044,0.22069707980083433,0.20063570316554236
2020,124872,Female,37,44,no,no,214.8,7.6,24.34,77,4,3,1,0,1,1,0.18106995884773663,0.4082098061573546,0.31224322103533275,0.3584729981378026,0.47984777720117633
2020,125199,Female,46,166,no,no,411.45,10.9,46.63,119,5,3,0,0,1,1,0.6831275720164609,0.7819270239452679,0.23375509328758304,0.28922104751488636,0.1488713025428127
2020,126610,Male,31,92,no,no,209.7,9.4,23.77,135,7,3,2,0,1,1,0.3786008230452675,0.3985176738882554,0.39545645771981497,0.6437768240343348,0.5623162082684657
2020,126730,Female,49,84,no,no,254.25,10.6,28.82,70,7,3,0,0,1,1,0.345679012345679,0.48318129988597486,0.3678001387925053,0.2753195673549656,0.35281525687597315
2020,126800,Male,32,45,no,no,239.7,10.6,27.17,93,3,3,2,0,1,1,0.18518518518518517,0.4555302166476624,0.3901361796098638,0.3879849812265332,0.5233956062964885
2020,127591,Female,43,140,no,no,187.95,8.4,21.3,94,4,3,1,0,1,1,0.5761316872427984,0.3571835803876852,0.3943661971830986,0.5001330140994946,0.5146817159660959
2020,128038,Male,33,122,no,no,161.85,9.5,18.34,119,3,3,2,0,1,1,0.5020576131687243,0.3075826681870011,0.5179934569247546,0.735248687055916,0.6243945684137694
2020,128738,Female,39,50,no,yes,454.05,13.6,51.46,103,14,4,3,0,1,2,0.205761316872428,0.862884834663626,0.2642829382044306,0.22684726351723378,0.32115983393876496
2020,128984,Female,27,132,no,no,289.95,11.6,32.86,119,4,4,5,1,1,1,0.5432098765432098,0.5510262257696693,0.3530127814972611,0.41041558889463703,0.6857593841895867
2020,129137,Female,36,92,no,yes,276.0,12.7,31.28,96,3,3,2,0,1,2,0.3786008230452675,0.524515393386545,0.40601023017902804,0.34782608695652173,0.47630167791039624
2020,129487,Female,39,103,no,no,240.3,9.7,27.23,97,2,3,0,0,1,1,0.42386831275720166,0.4566704675028506,0.3562247521116415,0.40366208905534745,0.37091333679294247
2020,129762,Female,46,119,no,yes,325.65,8.0,36.91,93,5,3,2,0,1,2,0.4897119341563786,0.6188711516533636,0.21674342996477924,0.2855826807922616,0.41188808164677404
2020,130327,Female,36,134,no,no,363.6,11.8,41.21,115,6,4,1,0,1,1,0.551440329218107,0.6909920182440137,0.2863382674108226,0.31628162816281624,0.28680159142016953
2020,130732,Female,52,89,no,no,211.65,10.8,23.99,73,2,3,2,0,1,1,0.3662551440329218,0.40222348916761685,0.4501875781575657,0.344909047956532,0.5597863691402872
2020,130772,Male,41,109,no,no,397.05,9.5,45.0,86,9,3,1,1,1,1,0.448559670781893,0.7545610034207525,0.21111111111111114,0.21659740586827855,0.24340512022141506
2020,131070,Male,64,21,no,yes,199.05,12.9,22.56,78,7,4,3,0,1,2,0.08641975308641975,0.3782782212086659,0.571808510638298,0.3918613413715147,0.6519849507005708
2020,131549,Female,39,163,no,no,183.6,12.5,20.81,97,7,4,1,0,1,1,0.6707818930041153,0.34891676168757124,0.600672753483902,0.528322440087146,0.5203252032520326
2020,132579,Female,35,167,no,no,249.6,9.9,28.29,95,5,3,1,0,1,1,0.6872427983539094,0.4743443557582668,0.34994697773064687,0.3806089743589744,0.4346998789136829
2020,132772,Female,52,75,no,yes,176.25,4.2,19.98,114,7,2,3,0,1,2,0.30864197530864196,0.3349486887115165,0.21021021021021014,0.6468085106382979,0.6815646081992736
2020,133119,Male,43,86,no,no,186.15,6.7,21.1,119,8,2,3,0,1,1,0.35390946502057613,0.3537628278221209,0.31753554502369663,0.639269406392694,0.6687208095485211
2020,134191,Female,41,35,no,yes,362.55,9.4,41.09,68,4,3,1,0,1,2,0.1440329218106996,0.6889965792474344,0.22876612314431732,0.1875603365053096,0.28816381248918876
2020,134483,Male,31,177,no,no,349.2,12.5,39.58,77,7,4,2,0,1,1,0.7283950617283951,0.6636259977194983,0.3158160687215765,0.22050400916380297,0.3813354090987719
2020,135693,Male,37,122,no,no,348.75,11.9,39.53,91,2,4,0,0,1,1,0.5020576131687243,0.6627708095781071,0.30103718694662274,0.26093189964157704,0.23021536066424503
2020,136635,Male,31,118,no,no,210.6,7.9,23.87,155,1,3,0,0,1,1,0.48559670781893005,0.4002280501710376,0.3309593632174277,0.7359924026590694,0.4094447327451999
2020,136931,Male,34,87,yes,yes,332.4,11.5,37.67,124,3,4,1,0,2,2,0.35802469135802467,0.6316989737742302,0.3052827183435094,0.37304452466907345,0.3272790174710259
2020,136940,Male,44,95,no,yes,194.25,11.9,22.02,115,3,4,1,0,1,2,0.39094650205761317,0.36915621436716073,0.5404178019981836,0.592020592020592,0.5065083895519807
2020,137780,Male,35,103,yes,no,94.2,9.4,10.68,78,4,3,3,0,2,1,0.42386831275720166,0.1790193842645382,0.8801498127340824,0.8280254777070063,0.788012454592631
2020,137959,Male,46,135,no,no,370.2,12.6,41.96,109,5,4,1,0,1,1,0.5555555555555556,0.7035347776510832,0.3002859866539562,0.29443544030253915,0.2782390589863346
2020,138375,Female,34,144,no,no,301.65,13.2,34.19,119,2,4,1,0,1,1,0.5925925925925926,0.573261117445838,0.3860778005264698,0.39449693353223936,0.36717263449230253
2020,138462,Female,32,148,no,yes,379.35,12.3,42.99,99,1,4,1,0,1,2,0.6090534979423868,0.7209236031927023,0.28611304954640615,0.2609727164887307,0.26636827538488156
2020,138764,Male,28,70,no,no,189.45,9.6,21.47,96,2,3,0,0,1,1,0.2880658436213992,0.36003420752565557,0.4471355379599441,0.5067300079176564,0.4368837571354438
2020,138770,Male,48,149,no,no,249.9,8.2,28.32,131,6,3,7,0,1,1,0.6131687242798354,0.4749144811858609,0.28954802259887,0.5242096838735494,0.8894222452862828
2020,139612,Female,24,16,no,no,344.4,10.8,39.03,91,2,3,0,1,1,1,0.06584362139917696,0.654503990877993,0.2767102229054573,0.26422764227642276,0.23585884795018172
2020,139643,Female,33,54,yes,no,285.75,9.7,32.39,111,2,3,2,1,2,1,0.2222222222222222,0.5430444697833523,0.2994751466502007,0.3884514435695538,0.4636524822695036
2020,139974,Male,46,83,no,no,303.45,6.8,34.39,82,4,2,0,0,1,1,0.34156378600823045,0.5766818700114025,0.19773189880779296,0.27022573735376504,0.2889854696419305
2020,141174,Female,39,72,no,no,379.5,9.8,43.01,89,4,3,0,0,1,1,0.2962962962962963,0.7212086659064993,0.22785398744478036,0.23451910408432147,0.19032174364296842
2020,141988,Male,43,30,no,no,341.1,12.5,38.66,134,3,4,0,0,1,1,0.12345679012345678,0.6482326111744584,0.3233316088980859,0.3928466725300498,0.24014011416709913
2020,142130,Male,36,56,no,no,243.45,14.8,27.59,115,1,4,4,1,1,1,0.23045267489711935,0.4626567844925883,0.5364262413918086,0.47237625795851307,0.670234388514098
2020,143708,Male,24,93,no,no,286.05,8.1,32.42,121,3,3,3,0,1,1,0.38271604938271603,0.5436145952109463,0.24984577421344856,0.42300297150847754,0.5391152049818371
2020,144052,Male,48,72,no,no,263.25,11.8,29.84,96,3,4,1,0,1,1,0.2962962962962963,0.500285062713797,0.3954423592493298,0.3646723646723647,0.41699100501643316
2020,144623,Male,34,91,no,yes,409.5,9.6,46.41,114,2,3,1,0,1,2,0.37448559670781895,0.7782212086659064,0.20685197155785395,0.2783882783882784,0.22725307040304454
2020,145394,Male,37,110,yes,no,439.95,14.5,49.86,91,4,4,0,1,2,1,0.45267489711934156,0.8360889395667046,0.29081427998395504,0.20684168655529037,0.11189673066943441
2020,146116,Male,48,137,no,no,165.75,10.5,18.79,64,3,3,3,0,1,1,0.5637860082304527,0.31499429874572404,0.5588078765300692,0.3861236802413273,0.6951868188894657
2020,146259,Female,34,149,no,no,363.75,10.0,41.23,80,3,3,3,1,1,1,0.6131687242798354,0.6912770809578107,0.24254183846713562,0.21993127147766323,0.43831084587441627
2020,146844,Female,38,55,no,yes,195.75,11.0,22.19,114,5,3,4,1,1,2,0.22633744855967078,0.3720068415051311,0.4957187922487607,0.5823754789272031,0.7321181456495418
2020,147756,Female,40,72,yes,yes,209.7,5.5,23.77,88,6,2,0,0,2,2,0.2962962962962963,0.3985176738882554,0.2313840976020194,0.4196471149260849,0.41061235080435915
2020,147858,Female,37,128,no,no,324.0,12.7,36.72,74,4,4,1,0,1,1,0.5267489711934157,0.6157354618015963,0.3458605664488017,0.22839506172839505,0.3381767860231794
2020,148558,Male,38,132,no,no,121.65,10.3,13.79,115,2,3,0,0,1,1,0.5432098765432098,0.23118586088939566,0.7469180565627267,0.9453349773941635,0.5248443175921121
2020,148624,Male,32,66,no,yes,262.05,8.9,29.7,98,2,3,1,0,1,2,0.2716049382716049,0.4980045610034207,0.29966329966329974,0.3739744323602366,0.41854782909531235
2020,148676,Male,37,87,no,no,235.2,7.6,26.66,77,6,3,1,0,1,1,0.35802469135802467,0.44697833523375136,0.28507126781695413,0.3273809523809524,0.453381767860232
2020,148966,Female,32,146,no,no,223.95,7.9,25.38,100,4,3,7,1,1,1,0.6008230452674898,0.4255986316989737,0.3112687155240348,0.44652824291136417,0.9230885659920431
2020,149137,Female,39,134,no,yes,325.2,8.6,36.86,83,2,3,0,0,1,2,0.551440329218107,0.6180159635119725,0.23331524688008687,0.25522755227552274,0.2607680332122471
2020,149162,Female,40,99,no,no,94.35,8.5,10.69,121,5,3,1,0,1,1,0.4074074074074074,0.1793044469783352,0.7951356407857811,1.282458929517753,0.6361139941186648
2020,149963,Male,39,107,no,no,291.75,12.7,33.07,106,1,4,2,0,1,1,0.4403292181069959,0.5544469783352337,0.38403386755367397,0.363324764353042,0.4558683618751082
2020,151056,Female,37,38,no,yes,295.8,3.9,33.52,104,2,2,0,0,1,2,0.15637860082304528,0.5621436716077537,0.11634844868735084,0.3515889114266396,0.29891022314478466
2020,152152,Male,28,64,no,no,252.0,10.1,28.56,98,3,3,2,0,1,1,0.26337448559670784,0.47890535917901933,0.353641456582633,0.3888888888888889,0.507438159487978
2020,152306,Female,26,64,no,yes,301.95,12.3,34.22,127,3,3,1,0,1,2,0.26337448559670784,0.5738312428734321,0.35943892460549387,0.4205994369928796,0.3667834284725826
2020,152461,Male,44,172,no,yes,412.35,8.8,46.73,123,2,3,1,0,1,2,0.7078189300411523,0.7836374002280502,0.18831585705114495,0.29829028737722807,0.22355561321570663
2020,153266,Female,36,80,yes,no,283.65,13.9,32.15,116,3,4,2,1,2,1,0.3292181069958848,0.5390535917901937,0.43234836702954893,0.40895469769081616,0.4663769244075421
2020,153759,Female,40,86,no,yes,338.25,9.8,38.34,81,2,3,0,0,1,2,0.35390946502057613,0.6428164196123146,0.25560772039645274,0.2394678492239468,0.24383757135443704
2020,154131,Male,46,82,no,no,283.8,10.6,32.16,83,5,3,3,1,1,1,0.3374485596707819,0.5393386545039909,0.3296019900497513,0.29245947850599013,0.5420342501297354
2020,154418,Male,39,137,yes,no,202.65,12.3,22.97,81,2,4,2,1,2,1,0.5637860082304527,0.38511972633979474,0.5354810622551154,0.3997039230199852,0.5714625497318804
2020,155230,Male,31,92,no,no,374.1,9.1,42.4,116,3,3,0,0,1,1,0.3786008230452675,0.7109464082098061,0.214622641509434,0.31007751937984496,0.19732745199792426
2020,155960,Female,36,161,yes,no,284.4,1.3,32.23,137,6,1,1,0,2,1,0.6625514403292181,0.540478905359179,0.04033509152963077,0.4817158931082982,0.38955198062618934
2020,157212,Female,50,39,no,yes,212.55,12.0,24.09,131,5,4,1,0,1,2,0.16049382716049382,0.40393386545039905,0.49813200498132004,0.6163255704540108,0.4827668223490747
2020,157245,Male,34,108,no,no,297.75,9.4,33.75,75,3,3,0,1,1,1,0.4444444444444444,0.5658494868871151,0.2785185185185185,0.2518891687657431,0.2963803840166062
2020,157314,Female,38,66,no,yes,344.1,8.0,39.0,119,1,3,2,0,1,2,0.2716049382716049,0.6539338654503991,0.20512820512820518,0.34582970066841034,0.387951911434008
2020,157519,Female,32,94,no,no,261.0,7.9,29.58,94,1,3,1,0,1,1,0.3868312757201646,0.49600912200684144,0.2670723461798512,0.36015325670498083,0.4199100501643316
2020,158478,Male,36,92,yes,no,396.45,9.3,44.93,73,5,3,0,0,2,1,0.3786008230452675,0.7534207525655643,0.2069886490095706,0.18413419094463362,0.16833160352880136
2020,159304,Male,30,110,no,yes,354.45,9.7,40.17,82,6,3,1,0,1,2,0.45267489711934156,0.6736031927023944,0.24147373661936766,0.23134433629566936,0.29867237502162264
2020,159610,Female,45,94,yes,yes,295.65,9.5,33.51,103,5,3,4,0,2,2,0.3868312757201646,0.5618586088939566,0.28349746344374815,0.3483849145949603,0.6025125410828578
2020,159647,Male,57,65,no,yes,423.45,12.0,47.99,93,4,4,1,0,1,2,0.2674897119341564,0.8047320410490307,0.2500520941862888,0.21962451292950763,0.20915499048607514
2020,161688,Female,33,162,no,yes,269.55,9.3,30.55,105,8,3,1,1,1,2,0.6666666666666666,0.5122576966932725,0.30441898527004907,0.3895381190873678,0.408817678602318
2020,162136,Female,33,10,no,no,279.15,11.4,31.64,57,6,4,2,0,1,1,0.0411522633744856,0.5305017103762827,0.36030341340075844,0.20419129500268673,0.47221501470333865
2020,162835,Female,37,128,no,no,154.95,6.4,17.56,95,7,2,0,0,1,1,0.5267489711934157,0.2944697833523375,0.3644646924829158,0.6131010003226848,0.4816424494032175
2020,162952,Male,33,156,yes,no,415.5,8.3,47.09,96,3,3,1,0,2,1,0.6419753086419753,0.7896237172177878,0.1762582289233382,0.23104693140794225,0.21946895000864913
2020,162977,Male,30,100,no,yes,323.85,11.6,36.7,157,4,4,1,0,1,2,0.411522633744856,0.6154503990877993,0.31607629427792916,0.48479234213370387,0.3383713890330393
2020,163272,Male,35,63,no,no,124.5,13.0,14.11,89,3,4,0,0,1,1,0.25925925925925924,0.2366020524515393,0.9213323883770376,0.714859437751004,0.5211468604047743
2020,164109,Female,40,119,no,yes,241.95,6.6,27.42,92,8,2,1,0,1,2,0.4897119341563786,0.45980615735461794,0.24070021881838077,0.38024385203554456,0.44462463241653705
2020,164123,Female,33,107,yes,no,291.6,11.2,33.05,93,7,4,2,0,2,1,0.4403292181069959,0.5541619156214367,0.3388804841149773,0.31893004115226337,0.45606296488496806
2020,164455,Female,46,95,no,no,357.15,11.8,40.48,115,4,4,4,0,1,1,0.39094650205761317,0.6787343215507411,0.2915019762845851,0.32199356012879743,0.5227253070403045
2020,164592,Female,41,101,no,no,309.9,14.6,35.12,100,3,3,0,0,1,1,0.4156378600823045,0.588939566704675,0.4157175398633258,0.32268473701193934,0.28061754021795543
2020,165319,Female,66,68,no,no,223.2,12.1,25.3,103,3,3,3,0,1,1,0.27983539094650206,0.42417331812998854,0.4782608695652174,0.4614695340501792,0.6206538661131293
