year,customer_id,gender_filled,age,no_of_days_subscribed,multi_screen,mail_subscribed,weekly_mins_watched,minimum_daily_mins,maximum_daily_mins,weekly_max_night_mins,videos_watched,maximum days_filled,customer_support_calls,churn_filled
2020,119245,Male,52,98,no,yes,181.5,12,20.57,110,1,4,1,0
2020,119421,Female,41,90,no,yes,275.7,7.7,31.25,124,3,3,1,0
2020,119553,Male,27,146,yes,no,240.15,9.2,27.22,98,3,3,2,0
2020,120500,Male,36,51,yes,no,230.4,14.1,26.11,92,4,4,0,1
2020,120696,Female,56,100,no,yes,265.65,7.4,30.11,72,2,2,0,0
2020,120828,Male,40,126,no,no,183.6,11.5,20.81,106,3,4,1,0
2020,121366,Male,49,97,no,yes,181.65,8.3,20.59,100,5,3,3,0
2020,121406,UNKNOWN,36,55,no,yes,283.95,12.5,32.18,102,4,4,2,0
2020,122388,Female,33,74,no,yes,290.55,14.6,32.93,92,3,4,2,0
2020,122391,Female,47,86,no,yes,184.5,13.3,20.91,103,4,4,1,0
2020,122530,Male,26,95,no,yes,61.35,11.9,6.95,91,7,4,0,0
2020,122658,Female,43,75,yes,no,250.05,10.1,28.34,121,3,3,3,0
2020,122904,Female,34,27,no,no,109.05,9.9,12.36,71,3,3,1,0
2020,124497,Male,42,65,no,no,281.85,7.5,31.94,86,6,3,1,0
2020,124837,Male,67,163,no,no,371.55,9.6,42.11,82,7,3,0,1
2020,124872,Female,37,44,no,no,214.8,7.6,24.34,77,4,3,1,0
2020,125199,Female,46,166,no,no,411.45,10.9,46.63,119,5,3,0,0
2020,126610,Male,31,92,no,no,209.7,9.4,23.77,135,7,3,2,0
2020,126730,Female,49,84,no,no,254.25,10.6,28.82,70,7,3,0,0
2020,126800,Male,32,45,no,no,239.7,10.6,27.17,93,3,3,2,0
2020,127591,Female,43,140,no,no,187.95,8.4,21.3,94,4,3,1,0
2020,128038,Male,33,122,no,no,161.85,9.5,18.34,119,3,3,2,0
2020,128738,Female,39,50,no,yes,454.05,13.6,51.46,103,14,4,3,0
2020,128984,Female,27,132,no,no,289.95,11.6,32.86,119,4,4,5,1
2020,129137,Female,36,92,no,yes,276,12.7,31.28,96,3,3,2,0
2020,129487,Female,39,103,no,no,240.3,9.7,27.23,97,2,3,0,0
2020,129762,Female,46,119,no,yes,325.65,8,36.91,93,5,3,2,0
2020,130327,Female,36,134,no,no,363.6,11.8,41.21,115,6,4,1,0
2020,130732,Female,52,89,no,no,211.65,10.8,23.99,73,2,3,2,0
2020,130772,Male,41,109,no,no,397.05,9.5,45,86,9,3,1,1
2020,131070,Male,64,21,no,yes,199.05,12.9,22.56,78,7,4,3,0
2020,131549,UNKNOWN,39,163,no,no,183.6,12.5,20.81,97,7,4,1,0
2020,132579,Female,35,167,no,no,249.6,9.9,28.29,95,5,3,1,0
2020,132772,Female,52,75,no,yes,176.25,4.2,19.98,114,7,2,3,0
2020,133119,Male,43,86,no,no,186.15,6.7,21.1,119,8,2,3,0
2020,134191,Female,41,35,no,yes,362.55,9.4,41.09,68,4,3,1,0
2020,134483,Male,31,177,no,no,349.2,12.5,39.58,77,7,4,2,0
2020,135693,Male,37,122,no,no,348.75,11.9,39.53,91,2,4,0,0
2020,136635,Male,31,118,no,no,210.6,7.9,23.87,155,1,3,0,0
2020,136931,Male,34,87,yes,yes,332.4,11.5,37.67,124,3,4,1,0
2020,136940,Male,44,95,no,yes,194.25,11.9,22.02,115,3,4,1,0
2020,137780,Male,35,103,yes,no,94.2,9.4,10.68,78,4,3,3,0
2020,137959,Male,46,135,no,no,370.2,12.6,41.96,109,5,4,1,0
2020,138375,Female,34,144,no,no,301.65,13.2,34.19,119,2,4,1,0
2020,138462,Female,32,148,no,yes,379.35,12.3,42.99,99,1,4,1,0
2020,138764,Male,28,70,no,no,189.45,9.6,21.47,96,2,3,0,0
2020,138770,Male,48,149,no,no,249.9,8.2,28.32,131,6,3,7,0
2020,139612,Female,24,16,no,no,344.4,10.8,39.03,91,2,3,0,1
2020,139643,Female,33,54,yes,no,285.75,9.7,32.39,111,2,3,2,1
2020,139974,Male,46,83,no,no,303.45,6.8,34.39,82,4,2,0,0
2020,141174,UNKNOWN,39,72,no,no,379.5,9.8,43.01,89,4,3,0,0
2020,141988,Male,43,30,no,no,341.1,12.5,38.66,134,3,4,0,0
2020,142130,Male,36,56,no,no,243.45,14.8,27.59,115,1,4,4,1
2020,143708,Male,24,93,no,no,286.05,8.1,32.42,121,3,3,3,0
2020,144052,Male,48,72,no,no,263.25,11.8,29.84,96,3,4,1,0
2020,144623,Male,34,91,no,yes,409.5,9.6,46.41,114,2,3,1,0
2020,145394,Male,37,110,yes,no,439.95,14.5,49.86,91,4,4,0,1
2020,146116,Male,48,137,no,no,165.75,10.5,18.79,64,3,3,3,0
2020,146259,Female,34,149,no,no,363.75,10,41.23,80,3,3,3,1
2020,146844,Female,38,55,no,yes,195.75,11,22.19,114,5,3,4,1
2020,147756,Female,40,72,yes,yes,209.7,5.5,23.77,88,6,2,0,0
2020,147858,Female,37,128,no,no,324,12.7,36.72,74,4,4,1,0
2020,148558,Male,38,132,no,no,121.65,10.3,13.79,115,2,3,0,0
2020,148624,Male,32,66,no,yes,262.05,8.9,29.7,98,2,3,1,0
2020,148676,Male,37,87,no,no,235.2,7.6,26.66,77,6,3,1,0
2020,148966,Female,32,146,no,no,223.95,7.9,25.38,100,4,3,7,1
2020,149137,Female,39,134,no,yes,325.2,8.6,36.86,83,2,3,0,0
2020,149162,Female,40,99,no,no,94.35,8.5,10.69,121,5,3,1,0
2020,149963,Male,39,107,no,no,291.75,12.7,33.07,106,1,4,2,0
2020,151056,Female,37,38,no,yes,295.8,3.9,33.52,104,2,2,0,0
2020,152152,Male,28,64,no,no,252,10.1,28.56,98,3,3,2,0
2020,152306,UNKNOWN,26,64,no,yes,301.95,12.3,34.22,127,3,3,1,0
2020,152461,Male,44,172,no,yes,412.35,8.8,46.73,123,2,3,1,0
2020,153266,Female,36,80,yes,no,283.65,13.9,32.15,116,3,4,2,1
2020,153759,Female,40,86,no,yes,338.25,9.8,38.34,81,2,3,0,0
2020,154131,Male,46,82,no,no,283.8,10.6,32.16,83,5,3,3,1
2020,154418,Male,39,137,yes,no,202.65,12.3,22.97,81,2,4,2,1
2020,155230,Male,31,92,no,no,374.1,9.1,42.4,116,3,3,0,0
2020,155960,Female,36,161,yes,no,284.4,1.3,32.23,137,6,1,1,0
2020,157212,Female,50,39,no,yes,212.55,12,24.09,131,5,4,1,0
2020,157245,Male,34,108,no,no,297.75,9.4,33.75,75,3,3,0,1
2020,157314,Female,38,66,no,yes,344.1,8,39,119,1,3,2,0
2020,157519,Female,32,94,no,no,261,7.9,29.58,94,1,3,1,0
2020,158478,Male,36,92,yes,no,396.45,9.3,44.93,73,5,3,0,0
2020,159304,Male,30,110,no,yes,354.45,9.7,40.17,82,6,3,1,0
2020,159610,Female,45,94,yes,yes,295.65,9.5,33.51,103,5,3,4,0
2020,159647,Male,57,65,no,yes,423.45,12,47.99,93,4,4,1,0
2020,161688,Female,33,162,no,yes,269.55,9.3,30.55,105,8,3,1,1
2020,162136,Female,33,10,no,no,279.15,11.4,31.64,57,6,4,2,0
2020,162835,Female,37,128,no,no,154.95,6.4,17.56,95,7,2,0,0
2020,162952,Male,33,156,yes,no,415.5,8.3,47.09,96,3,3,1,0
2020,162977,Male,30,100,no,yes,323.85,11.6,36.7,157,4,4,1,0
2020,163272,Male,35,63,no,no,124.5,13,14.11,89,3,4,0,0
2020,164109,Female,40,119,no,yes,241.95,6.6,27.42,92,8,2,1,0
2020,164123,Female,33,107,yes,no,291.6,11.2,33.05,93,7,4,2,0
2020,164455,UNKNOWN,46,95,no,no,357.15,11.8,40.48,115,4,4,4,0
2020,164592,UNKNOWN,41,101,no,no,309.9,14.6,35.12,100,3,3,0,0
2020,165319,Female,66,68,no,no,223.2,12.1,25.3,103,3,3,3,0
2020,165359,Male,36,111,no,no,259.2,7.9,29.38,104,3,3,4,1
2020,165361,Female,37,99,no,no,173.25,11.5,19.64,98,7,4,7,0
2020,165883,Female,28,128,no,no,356.85,13.9,40.44,68,4,4,1,0
2020,166475,Female,66,53,no,no,307.65,10.7,34.87,142,2,3,3,0
2020,166805,Female,22,98,no,yes,96.9,0,10.98,84,0,0,2,0
2020,168259,Female,31,67,no,no,257.55,11.9,29.19,111,4,4,2,0
2020,169001,Male,30,112,no,no,255.75,11.2,28.99,91,6,4,0,0
2020,169418,Female,24,94,no,no,272.7,9.2,30.91,97,2,3,4,0
2020,169543,Female,31,127,no,no,209.4,8.8,23.73,88,4,3,2,0
2020,170333,Male,39,161,no,no,109.2,11.8,12.38,91,2,4,2,0
2020,172251,Male,43,70,no,no,202.05,7.6,22.9,113,6,3,3,0
2020,172942,Female,33,61,no,yes,433.05,8.6,49.08,49,3,3,0,0
2020,173571,Female,40,158,no,no,263.85,11,29.9,98,6,3,1,0
2020,173610,Female,48,108,no,no,154.5,7.9,17.51,89,3,3,1,0
2020,173726,Male,44,92,no,yes,212.4,10.2,24.07,95,11,3,0,0
2020,174316,Female,44,118,no,yes,384.45,11.7,43.57,130,1,4,1,0
2020,174421,Male,28,106,no,yes,122.4,9.9,13.87,113,4,3,1,0
2020,174429,Male,26,192,no,no,332.4,12.7,37.67,83,6,4,4,0
2020,174528,Male,49,38,no,no,206.7,14.1,23.43,77,3,4,2,0
2020,174686,Male,27,136,no,no,378.6,10.7,42.91,110,3,3,2,0
2020,175022,Female,29,103,no,no,225.9,10.4,25.6,104,8,3,8,1
2020,175524,Female,39,116,no,yes,300.6,8.3,34.07,100,4,3,1,0
2020,175540,Male,34,49,no,yes,321.6,8,36.45,107,13,3,3,0
2020,176671,Female,26,118,no,no,281.1,12.2,31.86,97,6,4,1,0
2020,177770,Female,36,40,no,yes,222.15,6.2,25.18,102,5,2,2,0
2020,178283,Female,37,130,no,no,180.75,14.3,20.49,107,2,4,1,0
2020,178451,Male,41,37,no,no,299.25,8.1,33.92,123,4,3,2,0
2020,178539,Female,28,112,yes,no,242.85,10.7,27.52,134,4,3,1,0
2020,179241,Male,35,125,no,no,190.05,14.4,21.54,112,7,4,2,0
2020,179806,Female,43,9,no,yes,290.7,13.3,32.95,102,2,4,1,0
2020,180041,Male,40,72,no,yes,139.2,5.8,15.78,83,7,2,1,0
2020,180402,Female,29,103,no,no,260.25,9.7,29.5,66,2,3,3,0
2020,180609,Female,42,57,no,no,223.95,11.9,25.38,101,3,4,2,0
2020,180816,Male,43,140,no,no,243.9,8.2,27.64,66,2,3,1,0
2020,182008,Female,47,88,no,yes,272.4,11.4,30.87,104,4,4,1,0
2020,182401,Female,50,142,no,yes,330.75,5.9,37.49,109,9,2,2,0
2020,183297,Female,38,45,no,yes,295.2,7.7,33.46,85,2,3,1,0
2020,183663,Male,32,92,no,no,302.85,13.7,34.32,80,6,4,3,0
2020,184322,Male,31,88,no,no,92.85,8.8,10.52,110,2,3,3,0
2020,184762,Male,31,151,yes,no,327,12.4,37.06,95,1,4,0,0
2020,184815,Male,40,105,no,yes,211.8,11.4,24,101,2,4,1,0
2020,185424,Female,37,57,yes,yes,351.75,11.4,39.87,94,4,4,2,0
2020,185702,UNKNOWN,28,115,no,yes,255.75,13.6,28.99,71,5,4,6,0
2020,185871,UNKNOWN,36,113,no,no,91.8,13.7,10.4,114,3,4,5,1
2020,185880,Male,45,67,no,yes,157.35,9.6,17.83,128,9,3,1,0
2020,186513,Male,51,58,no,yes,360.6,11.2,40.87,108,3,4,1,0
2020,186866,Male,37,101,no,no,314.4,7.6,35.63,85,2,3,3,0
2020,187479,Male,36,129,no,yes,289.2,16.4,32.78,118,5,3,1,0
2020,187919,Female,49,79,no,yes,154.65,12.2,17.53,92,8,3,3,0
2020,187933,Male,21,100,no,no,268.65,10.2,30.45,116,10,3,1,0
2020,187947,Male,38,130,no,no,316.8,6.3,35.9,80,9,2,2,0
2020,188158,Female,35,179,no,no,430.95,10.5,48.84,112,4,3,0,1
2020,188310,Male,34,98,no,yes,272.4,12.9,30.87,121,4,4,2,0
2020,189354,Male,32,37,no,yes,397.05,10.4,45,102,7,3,0,0
2020,189451,Male,45,72,no,yes,330,14.7,37.4,71,6,4,3,0
2020,190926,Male,34,137,no,no,172.5,7.3,19.55,61,4,2,3,0
2020,192260,Male,25,127,no,yes,123.3,5.1,13.97,104,6,2,0,0
2020,192621,Female,28,72,no,no,326.7,10.4,37.03,91,5,3,4,0
2020,192653,Female,37,17,no,yes,297.75,8.1,33.75,130,10,3,1,0
2020,193284,Male,35,129,no,no,215.55,11.4,24.43,86,8,4,4,0
2020,193457,Male,36,114,no,yes,309.3,11.4,35.05,83,6,4,1,0
2020,194533,Male,36,91,yes,no,217.5,16.7,24.65,151,3,5,2,1
2020,194671,Female,30,93,no,yes,328.05,9.4,37.18,85,5,3,2,0
2020,195935,Male,32,101,no,yes,313.8,9.5,35.56,100,3,3,0,0
2020,196238,Male,47,57,yes,yes,354.75,12.2,40.21,117,3,4,2,0
2020,196348,Female,31,126,yes,yes,367.35,9.7,41.63,136,6,3,4,0
2020,196428,Male,41,130,no,no,190.5,6.1,21.59,99,6,2,0,0
2020,197904,Male,43,83,no,yes,143.85,13.3,16.3,109,4,4,0,0
2020,197908,Male,62,116,no,no,325.95,11.3,36.94,76,3,4,2,0
2020,198161,Male,42,87,no,no,226.5,9.7,25.67,127,3,3,5,1
2020,199976,Male,29,149,no,no,234,8.9,26.52,104,8,3,0,0
2020,200271,Female,35,117,no,no,253.2,15.5,28.7,106,4,5,0,0
2020,200342,Female,34,50,no,yes,379.35,8.5,42.99,146,4,3,3,0
2020,200466,Male,38,80,no,no,177.15,8.2,20.08,86,6,3,1,0
2020,201346,Female,53,74,no,no,261.15,8.3,29.6,123,5,3,2,1
2020,201583,Male,42,152,yes,yes,356.25,14.2,40.38,80,3,4,9,1
2020,201900,Male,52,96,no,yes,218.7,9.9,24.79,96,2,3,1,0
2020,202249,Female,45,159,no,yes,276.15,16.9,31.3,101,3,5,0,0
2020,202498,Male,29,162,no,yes,337.35,12.1,38.23,61,2,4,0,0
2020,203048,Female,34,75,no,no,221.25,16.4,25.08,68,3,5,2,0
2020,203849,Male,49,118,no,no,204.15,11.3,23.14,90,4,4,1,0
2020,204104,Female,40,54,no,no,408.9,9.5,46.34,111,2,3,1,1
2020,204191,Female,35,45,no,no,117.3,18,13.29,100,3,3,1,0
2020,204826,Female,22,87,no,no,219.45,5.3,24.87,66,9,2,1,0
2020,204830,Male,41,37,yes,yes,224.55,9.2,25.45,90,4,3,1,0
2020,205057,Male,45,155,no,no,305.1,8.9,34.58,119,4,3,0,1
2020,205411,Female,26,75,yes,no,316.95,9.7,35.92,63,4,3,4,1
2020,205473,Male,30,105,no,no,421.95,8.7,47.82,109,3,3,0,1
2020,208263,Male,30,155,no,no,285.45,8,32.35,134,3,3,1,0
2020,209073,UNKNOWN,38,103,no,no,211.95,6.4,24.02,96,2,2,1,0
2020,209779,UNKNOWN,39,43,no,no,362.85,5.9,41.12,104,3,2,1,0
2020,210158,Male,37,100,no,no,324.3,10.2,36.75,127,3,3,0,0
2020,210685,Female,39,77,no,no,350.7,7.6,39.75,104,3,3,2,0
2020,210746,Male,35,123,no,yes,405.6,15.4,45.97,113,7,5,1,0
2020,211508,Male,31,5,no,no,298.8,13.3,33.86,85,3,4,3,0
2020,212407,Female,31,129,no,no,279,11.5,31.62,63,6,4,4,0
2020,212825,Female,45,186,no,yes,111.45,14.5,12.63,90,3,4,2,0
2020,212914,Female,35,64,no,yes,436.65,7.5,49.49,67,2,3,1,0
2020,213222,Male,30,139,no,no,207.15,8.3,23.48,63,2,3,1,0
2020,213247,Male,56,149,no,yes,271.05,12.6,30.72,53,3,4,3,0
2020,213468,Male,42,19,no,no,279.15,14.6,31.64,127,7,4,2,0
2020,213546,Male,39,74,no,no,205.05,9.8,23.24,114,4,3,0,0
2020,213849,Female,44,89,yes,yes,168.9,11.1,19.14,116,2,3,0,1
2020,214005,Female,29,80,no,no,240.9,10.7,27.3,88,1,3,1,0
2020,214267,Male,29,95,yes,yes,330.3,4.1,37.43,82,2,2,0,1
2020,214276,Male,50,111,no,no,295.65,9.3,33.51,101,11,3,0,0
2020,214448,Female,35,87,no,no,307.2,9.5,34.82,89,3,3,0,0
2020,214544,Female,35,127,no,yes,214.8,11.6,24.34,77,1,4,1,0
2020,214729,Female,34,98,no,yes,269.85,12.8,30.58,76,7,4,3,0
2020,215262,Male,24,147,yes,yes,329.85,8.1,37.38,111,4,3,3,0
2020,215342,Female,50,34,no,no,440.55,11,49.93,76,10,3,2,1
2020,216475,Male,37,116,no,no,241.05,8.2,27.32,144,5,3,0,0
2020,217688,Male,66,86,no,no,189.45,9.8,21.47,95,7,3,2,0
2020,217894,Female,61,115,yes,no,270,12.4,30.6,70,3,4,1,0
2020,218827,Female,33,55,no,no,291.15,7,33,136,7,2,2,0
2020,218905,Male,38,73,no,no,297.45,14.8,33.71,87,8,4,3,0
2020,219087,Male,38,114,no,no,287.25,0,32.56,118,0,0,0,0
2020,219267,Female,46,99,no,no,220.05,8.9,24.94,98,1,3,3,0
2020,219381,Male,29,131,no,yes,203.85,9.4,23.1,121,4,3,1,0
2020,220614,Male,37,122,no,yes,380.55,9.2,43.13,123,5,3,7,0
2020,222229,Female,30,138,yes,yes,337.8,11.7,38.28,99,4,4,0,0
2020,223051,Male,39,87,no,no,173.1,13.1,19.62,69,5,4,2,0
2020,223234,Female,19,121,no,yes,297.6,5.8,33.73,77,3,2,3,1
2020,223616,Male,37,78,no,no,112.5,9.5,12.75,83,6,3,3,0
2020,224385,Male,49,110,no,no,294.15,12.9,33.34,71,1,4,3,0
2020,224478,Male,76,153,no,no,290.7,8.5,32.95,108,3,3,1,0
2020,224623,Male,39,134,no,no,212.55,8.8,24.09,60,6,3,0,0
2020,224728,Male,37,171,no,yes,280.35,5.8,31.77,64,3,3,1,0
2020,225874,Male,42,82,no,no,494.7,10.6,56.07,102,6,3,0,1
2020,226031,Female,31,63,no,no,317.7,10.7,36.01,99,9,3,3,0
2020,226248,Male,42,125,no,yes,354.15,9.1,40.14,107,4,3,2,0
2020,227723,Male,30,119,no,no,285.6,10,32.37,111,1,3,2,0
2020,229419,Female,30,132,yes,yes,300.45,12.9,34.05,91,3,4,2,0
2020,229564,Female,36,85,no,no,353.7,12,40.09,99,3,4,0,0
2020,229704,Male,30,29,no,no,236.1,9.3,26.76,92,2,3,1,0
2020,230769,Male,60,93,yes,no,325.35,17.5,36.87,110,5,5,1,0
2020,231790,Female,35,92,no,no,318.6,9,36.11,105,4,3,1,0
2020,232051,Male,56,17,no,no,242.25,8.6,27.46,106,5,3,1,0
2020,232605,Female,35,149,no,yes,310.05,10.9,35.14,80,3,3,1,0
2020,232757,UNKNOWN,36,93,no,yes,228.45,11.3,25.89,130,5,4,7,0
2020,232810,Male,39,39,no,no,240.6,9.1,27.27,106,5,3,2,0
2020,232955,Female,40,95,no,no,297.6,10.1,33.73,99,3,3,0,0
2020,233281,Female,40,55,no,no,430.05,6.9,48.74,122,5,2,2,0
2020,233889,Male,29,146,no,no,309.45,6.1,35.07,91,3,2,1,0
2020,234369,Male,24,115,no,no,149.55,14.1,16.95,99,4,4,2,0
2020,234709,Female,38,138,no,yes,29.25,7.9,3.32,111,1,3,0,0
2020,235379,Female,40,89,no,no,319.5,9.1,36.21,126,1,3,1,1
2020,235547,Male,33,99,no,no,361.65,11.6,40.99,109,10,4,1,0
2020,235672,Female,51,111,no,no,219.3,8.7,24.85,116,3,3,3,0
2020,235673,Male,39,53,no,yes,38.85,6.5,4.4,64,7,2,1,0
2020,235786,Male,25,64,no,no,337.2,9.2,38.22,110,2,3,1,0
2020,236046,Male,54,102,no,no,154.65,11.2,17.53,92,5,4,1,0
2020,236444,Male,25,59,no,no,241.35,5,27.35,97,5,2,3,0
2020,237466,Male,39,72,no,yes,280.05,16.5,31.74,119,4,5,1,0
2020,237750,Male,29,106,no,no,411.6,6,46.65,62,3,2,1,0
2020,237844,Female,49,115,no,yes,217.5,14.2,24.65,138,3,4,2,0
2020,239644,Male,41,118,no,no,283.2,8.2,32.1,100,7,3,4,0
2020,239711,Male,66,138,no,no,291.45,9,33.03,102,3,3,5,0
2020,239762,Female,43,162,no,no,276.75,11.6,31.37,82,3,4,1,0
2020,239960,Male,46,90,yes,no,222.3,9.2,25.19,97,1,3,4,1
2020,240273,Male,43,104,no,no,195.75,13,22.19,63,6,4,0,0
2020,241002,Male,30,165,no,no,225.75,10.3,25.59,93,2,3,1,0
2020,241017,Male,41,87,no,yes,227.1,0,25.74,109,0,0,1,0
2020,241422,Female,44,36,no,no,236.4,11.9,26.79,99,1,4,0,0
2020,241776,Male,47,138,yes,no,253.95,9.4,28.78,77,9,3,1,0
2020,241949,Female,64,151,no,no,234.6,7.7,26.59,141,6,3,4,0
2020,241973,Female,41,148,no,no,303,10.9,34.34,90,3,3,1,0
2020,242235,Male,29,45,no,yes,294.9,11.9,33.42,108,3,4,0,0
2020,242476,Female,35,50,no,yes,288.9,7.9,32.74,101,2,3,2,0
2020,242544,Male,36,150,no,no,253.8,12.6,28.76,107,3,4,1,0
2020,242716,Male,37,102,yes,no,350.7,12.8,39.75,106,3,4,0,0
2020,243956,Male,29,99,no,no,297.3,8.7,33.69,113,3,3,4,0
2020,246063,Female,41,132,no,no,265.05,9.1,30.04,120,4,3,2,0
2020,246664,Male,49,31,no,yes,150.15,5.9,17.02,131,3,2,0,0
2020,247057,Male,38,106,no,no,331.05,8.7,37.52,113,5,3,1,0
2020,247220,Male,36,201,no,yes,288,15.1,32.64,125,3,5,1,0
2020,247570,Female,32,77,no,no,93.6,5.7,10.61,64,6,2,5,1
2020,247605,Male,43,102,no,no,172.2,12,19.52,101,4,4,0,0
2020,248522,Female,22,94,no,no,236.85,8,26.84,84,5,3,4,1
2020,248609,Female,23,72,no,yes,207.15,8.2,23.48,118,2,3,2,0
2020,249003,Male,36,174,no,yes,332.7,12.4,37.71,109,9,4,1,0
2020,249248,Female,24,56,no,yes,182.55,12.7,20.69,98,3,4,1,0
2020,250741,Male,38,106,no,no,171.6,0,19.45,78,0,0,2,0
2020,251392,Female,39,132,no,yes,231.9,9.1,26.28,90,4,3,1,0
2020,251636,Female,29,27,no,no,290.7,9.2,32.95,124,3,3,0,0
2020,251664,Female,46,152,no,no,295.65,7.4,33.51,100,4,2,3,0
2020,251979,Male,41,101,no,no,372.9,6.1,42.26,86,3,2,3,0
2020,252051,Female,30,139,no,yes,144.3,12.9,16.35,84,10,4,2,0
2020,252123,Male,24,98,no,no,257.55,7.8,29.19,130,6,3,1,0
2020,252359,Female,30,141,no,yes,323.1,7.8,36.62,89,6,3,1,0
2020,252410,UNKNOWN,39,48,no,no,192.3,8.9,21.79,80,3,3,0,0
2020,252774,Female,43,103,no,no,297.75,12.4,33.75,124,5,4,0,0
2020,253133,Male,36,76,no,no,409.05,7.7,46.36,105,2,3,0,1
2020,253793,Female,29,87,no,no,483.75,9.4,54.83,128,4,3,2,1
2020,253844,Male,52,103,no,no,369.75,11.7,41.91,96,4,4,1,0
